t,daily_cases_obs,ward_obs,icu_obs,daily_deaths_obs,NT,P_0_49,P_50_59,P_60_69,P_70p
215,888.0,575.0,107.0,6.0,14672.0,0.616685456595265,0.13754227733934613,0.0947012401352875,0.15107102593010147
216,963.0,562.0,106.0,12.0,14708.0,0.6259143155694881,0.12852664576802508,0.09508881922675028,0.15047021943573669
217,904.0,577.0,105.0,10.0,14754.0,0.5951595159515951,0.1496149614961496,0.09020902090209021,0.16501650165016502
218,734.0,595.0,106.0,13.0,13932.0,0.6057298772169168,0.14597544338335608,0.11186903137789905,0.13642564802182813
219,427.0,628.0,104.0,14.0,13606.0,0.6370023419203747,0.14285714285714285,0.08899297423887588,0.13114754098360656
220,944.0,660.0,104.0,8.0,13894.0,0.625,0.1271186440677966,0.11334745762711865,0.13453389830508475
221,1278.0,686.0,115.0,10.0,14206.0,0.6541471048513302,0.13771517996870108,0.09702660406885759,0.1111111111111111
222,1394.0,686.0,125.0,12.0,14619.0,0.6762383345297918,0.1407035175879397,0.0933237616654702,0.08973438621679829
223,1646.0,709.0,122.0,5.0,14958.0,0.6540312876052948,0.13898916967509026,0.0950661853188929,0.11191335740072202
224,1090.0,719.0,124.0,13.0,15111.0,0.617998163452709,0.14049586776859505,0.08356290174471992,0.15794306703397612
225,1249.0,749.0,128.0,14.0,16233.0,0.6677341873498799,0.11609287429943956,0.08006405124099279,0.13610888710968774
226,1208.0,784.0,132.0,16.0,17032.0,0.6162117452440034,0.14971050454921422,0.1000827129859388,0.13399503722084366
227,2072.0,822.0,135.0,7.0,17310.0,0.6460945033751205,0.14223722275795564,0.0935390549662488,0.11812921890067503
228,2101.0,854.0,139.0,11.0,17641.0,0.6796577946768061,0.13403041825095058,0.08127376425855513,0.10503802281368821
229,2608.0,871.0,144.0,21.0,17994.0,0.6128048780487805,0.13833841463414634,0.09108231707317073,0.15777439024390244
230,2153.0,864.0,148.0,13.0,18250.0,0.6471408647140865,0.1399349139934914,0.10134821013482101,0.11157601115760112
231,1856.0,931.0,155.0,19.0,18410.0,0.6514008620689655,0.14547413793103448,0.09967672413793104,0.10344827586206896
232,1949.0,1009.0,165.0,17.0,18740.0,0.6506639427987743,0.1557711950970378,0.10010214504596528,0.09346271705822268
233,1876.0,1061.0,176.0,15.0,18992.0,0.6368,0.14293333333333336,0.09226666666666668,0.128
234,2535.0,1085.0,187.0,16.0,19178.0,0.6466640347414133,0.14725621792341095,0.09790761942360837,0.1081721279115673
